Iteration,Scaler,Transformer,Metric,Seed,SI,DBI,Score
277,Robust,MDS,cosine,59588,0.365989498623128,0.4629588216709519,0.13451008778765206
279,Robust,Spectral,euclidean,3042,0.3954831111191089,0.5425945370765072,0.1241858425808553
282,MinMax,MDS,manhattan,90544,0.25613077792442146,0.5371844715287782,-0.01246145783996766
283,MinMax,Spectral,euclidean,32108,0.3926621643466249,0.4630407242197603,0.16114180223674474
284,MaxAbs,Isomap,manhattan,56255,0.24943947985126858,0.6278180381295487,-0.06446953921350579
285,MaxAbs,Spectral,euclidean,88725,0.5982868573092919,0.06461197157701937,0.5659808715207821
286,MinMax,Isomap,manhattan,89778,0.2327172032988656,0.5742980138807536,-0.054431803641511206
287,Robust,Spectral,correlation,8140,0.5745584206151234,0.2697202923011721,0.43969827446453735
289,MinMax,Isomap,manhattan,1991,0.2327172032988656,0.5742980138807536,-0.054431803641511206
290,Standard,Spectral,manhattan,24216,0.457883231283935,0.3815612057678715,0.2671026283999992
292,Standard,Spectral,manhattan,5940,0.5965388923588169,0.06521753549712951,0.563930124610252
295,Standard,Spectral,euclidean,52495,0.28093411575431243,0.6600941010914065,-0.04911293479139084
296,Robust,Isomap,manhattan,12283,0.25791640088576245,0.6641099283494827,-0.07413856328897889
299,Standard,Isomap,correlation,48604,0.5648569492790197,0.22503590736377252,0.4523389955971335
300,Standard,MDS,euclidean,40982,0.2545901628405828,0.5496928641924168,-0.020256269255625625
303,MinMax,Spectral,cosine,44426,0.40538179874350977,0.45065593575369256,0.1800538308666635
305,MaxAbs,Isomap,euclidean,90328,0.26319954278138175,0.5013465924021255,0.012526246580318978
307,MinMax,MDS,euclidean,51565,0.2621507971193657,0.5395435838096511,-0.007620994785459856
308,MaxAbs,MDS,cosine,9619,0.5640187552342556,0.27534459607096823,0.4263464571987715
309,MinMax,MDS,euclidean,10835,0.26238589655087374,0.539323353820324,-0.007275780359288275
310,Standard,Spectral,correlation,54267,0.3791973783818221,0.44950949042321103,0.1544426331702166
311,Standard,MDS,manhattan,3580,0.2499758539233724,0.5431979412401726,-0.021623116696713907
314,Robust,MDS,manhattan,87106,0.22006366221050674,0.5743688719597349,-0.06712077376936068
315,MaxAbs,Spectral,cosine,25491,0.4026100055338593,0.4473611538980218,0.1789294285848484
316,Standard,Spectral,cosine,72304,0.4425368473274303,0.17171970054693012,0.3566769970539653
317,MinMax,Isomap,euclidean,86020,0.39022426519241676,0.4253586711482988,0.17754492961826737
319,Robust,MDS,cosine,10770,0.3673824376893173,0.4622109936304178,0.13627694087410838
323,Standard,Isomap,euclidean,2942,0.3697724392470274,0.446516293169271,0.1465142926623919
324,Standard,Spectral,euclidean,12248,0.6670680001240782,0.1908596330427962,0.57163818360268
326,MinMax,Spectral,euclidean,8646,0.5415694730776263,0.1045252380515324,0.4893068540518601
328,Robust,MDS,correlation,22115,0.5912202972087017,0.22787556111970766,0.4772825166488479
329,MinMax,Isomap,correlation,89672,0.4206776736203374,0.3107726729325893,0.26529133715404274
330,Robust,MDS,euclidean,92872,0.19049562247128785,0.750807566729336,-0.18490816089338016
331,Standard,Isomap,manhattan,35364,0.25666488189065984,0.6579121355302809,-0.07229118587448063
332,MaxAbs,MDS,manhattan,44401,0.26252498539632063,0.6087195795752124,-0.04183480439128556
333,Robust,Spectral,cosine,36597,0.3618335568103847,0.44893284238307807,0.13736713561884567
334,Standard,Spectral,euclidean,98173,0.4876808081054233,0.3415557131123916,0.31690295154922754
342,MaxAbs,MDS,correlation,58736,0.5142577318935903,0.39921638055479486,0.31464954161619285
343,Standard,Isomap,euclidean,13767,0.3697724392470274,0.446516293169271,0.1465142926623919
344,Standard,Spectral,cosine,93239,0.4857033368331645,0.18566793491051806,0.3928693693779055
345,Robust,Spectral,manhattan,2190,0.3055381408265814,0.5303352663291959,0.04037050766198341
347,Standard,Spectral,cosine,29808,0.4322749349893758,0.45209755511991284,0.20622615742941938
348,MinMax,Spectral,correlation,44475,0.4582237440930408,0.1755133580934929,0.37046706504629434
349,Standard,MDS,correlation,20177,0.5442883192582585,0.24415746867101662,0.4222095849227502
350,MaxAbs,Spectral,euclidean,87478,0.3838621488692799,0.6046710630032266,0.08152661736766659
353,MinMax,MDS,cosine,5248,0.38698292817721563,0.4761438420849539,0.14891100713473868
354,MinMax,Isomap,cosine,26059,0.3834159963583554,0.47265400655293094,0.1470889930818899
356,MinMax,MDS,correlation,54833,0.44924450362576507,0.3032595122585446,0.29761474749649275
357,MinMax,Spectral,manhattan,41651,0.39223649217197615,0.24795832941509496,0.26825732746442865
361,MinMax,MDS,correlation,73537,0.4404585941172188,0.30787040048473324,0.2865233938748522
364,MaxAbs,MDS,euclidean,24584,0.29390999090003506,0.48590569359550956,0.05095714410228028
365,Robust,Spectral,manhattan,57342,0.36142783809609497,0.4551822677704502,0.13383670421086988
367,MaxAbs,Isomap,manhattan,46581,0.25194470659980733,0.5289088007696704,-0.012509693785027864
368,MaxAbs,Isomap,euclidean,45299,0.32840664933357383,0.47310888556314173,0.09185220655200296
371,MinMax,Isomap,euclidean,37684,0.25350989063976914,0.6486574595292411,-0.07081883912485143
374,Robust,Spectral,manhattan,18480,0.33064460281976576,0.2726065225841851,0.1943413415276732
375,MaxAbs,MDS,cosine,77559,0.5520240438388032,0.3001946274422104,0.401926730117698
376,Standard,Isomap,manhattan,78618,0.22699721893298386,0.5817302896210892,-0.06386792587756074
377,Standard,Spectral,euclidean,84565,0.4956146044233229,0.15001120398288356,0.4206090024318811
379,Robust,Spectral,cosine,17948,0.3829217267689566,0.49611647371041373,0.13486348991374972
381,Standard,Isomap,manhattan,21196,0.27688088998814436,0.5208351602836012,0.016463309846343754
385,MaxAbs,MDS,correlation,73197,0.5141273599997336,0.38933664943156937,0.3194590352839489
386,Robust,Isomap,manhattan,69814,0.248825008454151,0.6789686671279321,-0.09065932510981506
387,Robust,MDS,cosine,6412,0.36747349676617436,0.462324409689733,0.13631129192130786
389,Standard,Isomap,euclidean,45032,0.23064427864328998,0.5848038273037082,-0.0617576350085641
390,Robust,MDS,euclidean,68289,0.18156092832110782,0.7692090065333393,-0.20304357494556186
391,MinMax,MDS,manhattan,98717,0.2559647029186117,0.5378328871453497,-0.012951740654063182
392,MinMax,MDS,euclidean,30351,0.2585268911858565,0.5379534260488311,-0.010449821838559081
393,MaxAbs,Isomap,cosine,86253,0.5375926097898723,0.31587540421006344,0.3796549076848406
394,MaxAbs,Spectral,euclidean,85966,0.24906974098718912,0.546604799880137,-0.024232658952879377
398,Robust,Isomap,correlation,93118,0.6696682040553247,0.1701703091025235,0.5845830495040629
400,MaxAbs,Spectral,correlation,42029,0.44133926251576056,0.3906207289540798,0.24602889803872066
402,Robust,MDS,cosine,9874,0.3700064405714867,0.4591914933643851,0.14041069388929414
403,MinMax,Spectral,euclidean,83088,0.3368799041063811,0.2703750032646546,0.2016924024740538
405,Standard,MDS,correlation,53352,0.48738295086429195,0.27775066333226245,0.34850761919816076
409,Robust,Isomap,manhattan,11411,0.25791640088576245,0.6641099283494827,-0.07413856328897889
411,Standard,MDS,correlation,64537,0.4929796557189848,0.27641541035066136,0.35477195054365407
412,Robust,Isomap,euclidean,47907,0.209514900000627,0.7553154015039946,-0.16814280075137028
413,MaxAbs,Spectral,cosine,28215,0.2710312347758294,0.6494750146272518,-0.05370627253779647
414,Robust,Spectral,correlation,82523,0.2931129698302505,0.28858145953613096,0.148822240062185
415,MaxAbs,Spectral,cosine,28708,0.2888282683240159,0.28859217964054246,0.1445321785037447
416,MaxAbs,Isomap,euclidean,88367,0.4336109039140761,0.38888695027849357,0.2391674287748293
417,MinMax,MDS,cosine,65850,0.39319137159536394,0.46318966226426744,0.16159654046323021
418,MinMax,Spectral,manhattan,68512,0.2630083581199467,0.7404031832277472,-0.1071932334939269
419,Standard,Isomap,manhattan,77824,0.27688088998814436,0.5208351602836012,0.016463309846343754
420,Robust,MDS,cosine,48362,0.3670030104279209,0.4615015298874478,0.13625224548419698
426,Robust,Spectral,correlation,73499,0.287288878778507,0.5983504832294825,-0.011886362836234232
428,Standard,MDS,correlation,83053,0.49795568017831976,0.2719453048910485,0.3619830277327955
